,package_id,centroid_latitude,centroid_longitude
2210,ess-dive-120a44f1c8a626c-20240717T182120652,39.3259,-75.4749
2211,ess-dive-120a44f1c8a626c-20240717T182120652,39.2152,-75.4607
2212,ess-dive-120a44f1c8a626c-20240717T182120652,38.8747,-76.5516
2213,ess-dive-99debf2504c8ecb-20240717T163934953,0.0,0.0
2214,ess-dive-0a0fd9501e9aed6-20240717T134156160,69.5,-90.0
2215,ess-dive-0a0fd9501e9aed6-20240717T134156160,69.5,90.0
2216,ess-dive-1fc4b8a27db625e-20240716T193312226,69.5,90.0
2217,ess-dive-1fc4b8a27db625e-20240716T193312226,69.5,-90.0
2218,ess-dive-3b439ff48ee447d-20240716T184408674,38.927,-107.003
2219,ess-dive-3b439ff48ee447d-20240716T184408674,38.957,-106.965
2220,ess-dive-45f31ee179238bf-20240716T163959506,65.1627065,-164.823224
2221,ess-dive-f3450d628300e92-20240716T133544683,71.275,-156.55
2222,ess-dive-ab40090462cde8b-20240712T225234615,47.50565,-93.4533
2223,ess-dive-8dad778c8e6ebb5-20240712T180916102,71.275,-156.55
2224,ess-dive-af05a742d066868-20240712T175203678,71.275,-156.55
2225,ess-dive-c8144773453032e-20240709T214016971,65.491,-163.665
2226,ess-dive-516c0e0156207f4-20240706T074003627,29.85,-90.29
2227,ess-dive-ff9a00dd5a0e244-20240705T190051726,65.491,-163.665
2228,ess-dive-fb2af036ad1c82e-20240703T210207291,64.979781,-166.21139
2229,ess-dive-a9cfea2af830dad-20240703T172515544,65.1627065,-164.823224
2230,ess-dive-fae0dbcdff768c7-20240702T162319031,64.735492,-165.95039
2231,ess-dive-d13d1a5470f96fa-20240630T193707902,38.875,-106.91999999999999
2232,ess-dive-67de945e4c8e850-20240628T140603585,61.150000000000006,-154.65
2233,ess-dive-25faff4f5461699-20240625T213411356117,65.491,-163.665
2234,ess-dive-882b1bb3116a5df-20240625T151821999,39.03,-79.67
2235,ess-dive-10b7f63ba729947-20240624T215934490,64.735492,-165.95039
2236,ess-dive-16b51a8d0f62d3c-20240624T215518094,65.491,-163.665
2237,ess-dive-b72d964e75ef8f0-20240624T203158838,46.65435,-92.2396
2238,ess-dive-b72d964e75ef8f0-20240624T203158838,46.67236,-92.1356
2239,ess-dive-b72d964e75ef8f0-20240624T203158838,46.71955,-92.1823
2240,ess-dive-b72d964e75ef8f0-20240624T203158838,46.76342,-92.1201
2241,ess-dive-b72d964e75ef8f0-20240624T203158838,46.69118,-91.9866
2242,ess-dive-b72d964e75ef8f0-20240624T203158838,46.72177,-92.0635
2243,ess-dive-31ab094aeb34790-20240621T140954484,65.491,-163.665
2244,ess-dive-5081dd6cc22371e-20240621T134724910,71.275,-156.55
2245,ess-dive-a6af4499a64dac3-20240617T211851795,64.735492,-165.95039
2246,ess-dive-0e8f765ac10f033-20240612T180705521,38.957,-106.965
2247,ess-dive-44acf4bc56ef7da-20240611T222529048,64.7352,-165.9584
2248,ess-dive-44acf4bc56ef7da-20240611T222529048,65.1614,-164.8225
2249,ess-dive-44acf4bc56ef7da-20240611T222529048,78.9209,11.8331
2250,ess-dive-44acf4bc56ef7da-20240611T222529048,39.05084,-108.06144
2251,ess-dive-44acf4bc56ef7da-20240611T222529048,37.9069,-107.7113
2252,ess-dive-44acf4bc56ef7da-20240611T222529048,68.617,-149.2
2253,ess-dive-44acf4bc56ef7da-20240611T222529048,35.8616,-106.3189
2254,ess-dive-44acf4bc56ef7da-20240611T222529048,72.37,126.4756
2255,ess-dive-44acf4bc56ef7da-20240611T222529048,68.48033,-155.7452
2256,ess-dive-44acf4bc56ef7da-20240611T222529048,64.84436,-163.70743
2257,ess-dive-da2405a4f4483e0-20240611T202727845,64.735492,-165.95039
2258,ess-dive-da2405a4f4483e0-20240611T202727845,65.1627065,-164.823224
2259,ess-dive-b6200929fa5b268-20240604T184443135,33.2545,-112.1745
2260,ess-dive-04ef000a2a07376-20240603T173634159,42.734462738,-70.83823394
2261,ess-dive-c39525e8dcc5fda-20240531T024742194,42.752737999999994,-70.916279
2262,ess-dive-892e50e5bde0d84-20240530T230817155,65.491,-163.665
2263,ess-dive-4a519ee40830e71-20240529T215342722,64.8625,-163.697777
2264,ess-dive-4a519ee40830e71-20240529T215342722,64.778865,-163.754684
2265,ess-dive-0017e2d20e90c0e-20240524T184042832,63.8,-22.7
2266,ess-dive-0017e2d20e90c0e-20240524T184042832,64.8,-147.7
2267,ess-dive-0017e2d20e90c0e-20240524T184042832,41.8,-88.2
